model,params,comment,threshold,roc_auc,f1,precision,recall,acc,use_cross_val,roc_auc_train,f1_train,precision_train,recall_train,acc_train
<catboost.core.CatBoostClassifier object at 0x0000025368FFD700>,"{'iterations': 1500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",no_features,0.014254,0.836,0.573,0.427,0.87,0.692,False,0.848,0.465,0.335,0.759,0.727
<catboost.core.CatBoostClassifier object at 0x0000025368C6F460>,"{'iterations': 1500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",drop_zeros=True,0.014565,0.774,0.517,0.382,0.8,0.651,False,0.826,0.463,0.335,0.747,0.722
<catboost.core.CatBoostClassifier object at 0x0000025368F00430>,"{'iterations': 1500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",use_diff_features=True,0.013964,0.837,0.582,0.431,0.896,0.695,False,0.847,0.465,0.333,0.771,0.723
<catboost.core.CatBoostClassifier object at 0x0000025368AC8220>,"{'iterations': 1500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",use_ratio_features=True,0.013736,0.81,0.546,0.395,0.883,0.652,False,0.865,0.466,0.325,0.819,0.706
<catboost.core.CatBoostClassifier object at 0x0000025368C67340>,"{'iterations': 1500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",add_growth=True,0.01503,0.825,0.599,0.464,0.844,0.732,False,0.88,0.517,0.381,0.807,0.765
<catboost.core.CatBoostClassifier object at 0x000002536929C550>,"{'iterations': 1500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",count_log_fin_vals=True,0.014001,0.83,0.571,0.422,0.883,0.686,False,0.849,0.482,0.344,0.807,0.729
<catboost.core.CatBoostClassifier object at 0x0000025368E51790>,"{'iterations': 1500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",normalize_fin_columns=True,0.014592,0.837,0.583,0.438,0.87,0.705,False,0.84,0.472,0.342,0.759,0.734
<catboost.core.CatBoostClassifier object at 0x0000025368D655B0>,"{'iterations': 1500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",add_growth=True + use_diff_features=True,0.014351,0.837,0.575,0.429,0.87,0.695,False,0.877,0.509,0.367,0.831,0.75
<catboost.core.CatBoostClassifier object at 0x0000025369280AC0>,"{'iterations': 1500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",add_growth=True + use_diff_features=True + normalize_fin_columns=True,0.01382,0.833,0.576,0.428,0.883,0.692,False,0.848,0.462,0.325,0.795,0.71
<catboost.core.CatBoostClassifier object at 0x0000025368D2DB50>,"{'iterations': 1500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",add_growth=True + use_diff_features=True + normalize_fin_columns=True + count_log_fin_vals=True,0.013479,0.825,0.571,0.422,0.883,0.686,False,0.864,0.481,0.34,0.819,0.723
<catboost.core.CatBoostClassifier object at 0x0000025368E3AB50>,"{'iterations': 1500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",add_growth=True + use_diff_features=True + normalize_fin_columns=True + count_log_fin_vals=True + use_ratio_features=True,0.013758,0.82,0.541,0.388,0.896,0.64,False,0.881,0.474,0.332,0.831,0.712
